n,time_s,adc_low,adc_high,adc_low_norm,adc_high_norm
0,0,0,0,0,0
1,1e-05,0,0,0,0
2,2e-05,0,0,0,0
3,3e-05,0,0,0,0
4,4e-05,0,0,0,0
5,5e-05,0,0,0,0
6,6e-05,0,0,0,0
7,7e-05,0,0,0,0
8,8e-05,1,0,0.00390625,0
9,9e-05,2,0,0.0078125,0
10,0.0001,3,1,0.01171875,0.00390625
11,0.00011,4,2,0.015625,0.0078125
12,0.00012,8,4,0.03125,0.015625
13,0.00013,10,6,0.0390625,0.0234375
14,0.00014,11,7,0.04296875,0.02734375
15,0.00015,15,10,0.05859375,0.0390625
16,0.00016,15,9,0.05859375,0.03515625
17,0.00017,21,15,0.08203125,0.05859375
18,0.00018,24,18,0.09375,0.0703125
19,0.00019,28,21,0.109375,0.08203125
20,0.0002,31,24,0.12109375,0.09375
21,0.00021,35,28,0.13671875,0.109375
22,0.00022,39,32,0.15234375,0.125
23,0.00023,43,35,0.16796875,0.13671875
24,0.00024,47,39,0.18359375,0.15234375
25,0.00025,50,42,0.1953125,0.1640625
26,0.00026,54,46,0.2109375,0.1796875
27,0.00027,58,50,0.2265625,0.1953125
28,0.00028,61,54,0.23828125,0.2109375
29,0.00029,65,57,0.25390625,0.22265625
30,0.0003,67,60,0.26171875,0.234375
31,0.00031,70,63,0.2734375,0.24609375
32,0.00032,72,66,0.28125,0.2578125
33,0.00033,75,69,0.29296875,0.26953125
34,0.00034,76,71,0.296875,0.27734375
35,0.00035,77,73,0.30078125,0.28515625
36,0.00036,78,75,0.3046875,0.29296875
37,0.00037,78,76,0.3046875,0.296875
38,0.00038,77,77,0.30078125,0.30078125
39,0.00039,76,77,0.296875,0.30078125
40,0.0004,75,77,0.29296875,0.30078125
41,0.00041,72,75,0.28125,0.29296875
42,0.00042,70,74,0.2734375,0.2890625
43,0.00043,66,71,0.2578125,0.27734375
44,0.00044,63,69,0.24609375,0.26953125
45,0.00045,58,65,0.2265625,0.25390625
46,0.00046,54,63,0.2109375,0.24609375
47,0.00047,49,58,0.19140625,0.2265625
48,0.00048,43,54,0.16796875,0.2109375
49,0.00049,38,48,0.1484375,0.1875
50,0.0005,32,43,0.125,0.16796875
51,0.00051,27,38,0.10546875,0.1484375
52,0.00052,21,32,0.08203125,0.125
53,0.00053,17,28,0.06640625,0.109375
54,0.00054,12,23,0.046875,0.08984375
55,0.00055,7,17,0.02734375,0.06640625
56,0.00056,3,13,0.01171875,0.05078125
57,0.00057,1,10,0.00390625,0.0390625
58,0.00058,0,6,0,0.0234375
59,0.00059,0,3,0,0.01171875
60,0.0006,0,1,0,0.00390625
61,0.00061,0,0,0,0
62,0.00062,0,0,0,0
63,0.00063,1,0,0.00390625,0
64,0.00064,4,1,0.015625,0.00390625
65,0.00065,9,4,0.03515625,0.015625
66,0.00066,13,6,0.05078125,0.0234375
67,0.00067,19,11,0.07421875,0.04296875
68,0.00068,26,16,0.1015625,0.0625
69,0.00069,33,21,0.12890625,0.08203125
70,0.0007,38,26,0.1484375,0.1015625
71,0.00071,45,32,0.17578125,0.125
72,0.00072,51,38,0.19921875,0.1484375
73,0.00073,58,45,0.2265625,0.17578125
74,0.00074,66,53,0.2578125,0.20703125
75,0.00075,70,58,0.2734375,0.2265625
76,0.00076,74,63,0.2890625,0.24609375
77,0.00077,77,68,0.30078125,0.265625
78,0.00078,78,71,0.3046875,0.27734375
79,0.00079,78,73,0.3046875,0.28515625
80,0.0008,77,74,0.30078125,0.2890625
81,0.00081,77,77,0.30078125,0.30078125
82,0.00082,72,75,0.28125,0.29296875
83,0.00083,67,73,0.26171875,0.28515625
84,0.00084,62,70,0.2421875,0.2734375
85,0.00085,55,64,0.21484375,0.25
86,0.00086,48,59,0.1875,0.23046875
87,0.00087,41,54,0.16015625,0.2109375
88,0.00088,32,47,0.125,0.18359375
89,0.00089,25,40,0.09765625,0.15625
90,0.0009,18,34,0.0703125,0.1328125
