k,freq_hz,coherence
0,0,0.716749072
1,48.828125,0.984111965
2,97.65625,0.986354828
3,146.484375,0.985472798
4,195.3125,0.987226069
5,244.140625,0.99342984
6,292.96875,0.988905847
7,341.796875,0.989657104
8,390.625,0.992371261
9,439.453125,0.995510101
10,488.28125,0.993556201
11,537.109375,0.996301889
12,585.9375,0.994118094
13,634.765625,0.993227839
14,683.59375,0.99437362
15,732.421875,0.993722856
16,781.25,0.995302856
17,830.078125,0.996357143
18,878.90625,0.995945394
19,927.734375,0.995693028
20,976.5625,0.996732175
21,1025.39062,0.997301161
22,1074.21875,0.997007191
23,1123.04688,0.997230172
24,1171.875,0.997715592
25,1220.70312,0.997332752
26,1269.53125,0.996630907
27,1318.35938,0.998685002
28,1367.1875,0.997957647
29,1416.01562,0.99838382
30,1464.84375,0.998225987
31,1513.67188,0.99854964
32,1562.5,0.998616576
33,1611.32812,0.998751283
34,1660.15625,0.99843657
35,1708.98438,0.998621881
36,1757.8125,0.999242842
37,1806.64062,0.998981833
38,1855.46875,0.999066472
39,1904.29688,0.99872613
40,1953.125,0.999152362
41,2001.95312,0.99887377
42,2050.78125,0.998692691
43,2099.60938,0.999277532
44,2148.4375,0.999327064
45,2197.26562,0.99920994
46,2246.09375,0.99904269
47,2294.92188,0.999413788
48,2343.75,0.999196947
49,2392.57812,0.998643398
50,2441.40625,0.999195039
51,2490.23438,0.999114275
52,2539.0625,0.999112487
53,2587.89062,0.999474466
54,2636.71875,0.999001026
55,2685.54688,0.99830395
56,2734.375,0.998738408
57,2783.20312,0.998733759
58,2832.03125,0.999242365
59,2880.85938,0.998426855
60,2929.6875,0.9990381
61,2978.51562,0.998539448
62,3027.34375,0.99843502
63,3076.17188,0.998517513
64,3125,0.998217762
65,3173.82812,0.998560369
66,3222.65625,0.998687088
67,3271.48438,0.998841465
68,3320.3125,0.99896872
69,3369.14062,0.99904412
70,3417.96875,0.998876631
71,3466.79688,0.999041915
72,3515.625,0.998724639
73,3564.45312,0.99887532
74,3613.28125,0.998952746
75,3662.10938,0.998815
76,3710.9375,0.998747945
77,3759.76562,0.998573124
78,3808.59375,0.99868387
79,3857.42188,0.997574747
80,3906.25,0.998241127
81,3955.07812,0.998902798
82,4003.90625,0.99841857
83,4052.73438,0.998630822
84,4101.5625,0.998141944
85,4150.39062,0.998228431
86,4199.21875,0.9989658
87,4248.04688,0.998898447
88,4296.875,0.998828113
89,4345.70312,0.999155521
90,4394.53125,0.998758256
91,4443.35938,0.998755336
92,4492.1875,0.998238385
93,4541.01562,0.998775005
94,4589.84375,0.99788624
95,4638.67188,0.998329222
96,4687.5,0.997850657
97,4736.32812,0.998222947
98,4785.15625,0.99866569
99,4833.98438,0.998085618
100,4882.8125,0.998927474
101,4931.64062,0.998298883
102,4980.46875,0.998326182
103,5029.29688,0.998820305
104,5078.125,0.999203503
105,5126.95312,0.998003304
106,5175.78125,0.998059452
107,5224.60938,0.997488856
108,5273.4375,0.998378217
109,5322.26562,0.998237252
110,5371.09375,0.998331606
111,5419.92188,0.998435378
112,5468.75,0.998633325
113,5517.57812,0.998626649
114,5566.40625,0.997924864
115,5615.23438,0.99876529
116,5664.0625,0.998371482
117,5712.89062,0.998003781
118,5761.71875,0.998229742
119,5810.54688,0.998036146
120,5859.375,0.998591423
121,5908.20312,0.998770118
122,5957.03125,0.998441398
123,6005.85938,0.99882102
124,6054.6875,0.998434007
125,6103.51562,0.998128653
126,6152.34375,0.998417735
127,6201.17188,0.997760773
128,6250,0.997807622
129,6298.82812,0.997880399
130,6347.65625,0.998365402
131,6396.48438,0.99759084
132,6445.3125,0.998479843
133,6494.14062,0.998266697
134,6542.96875,0.997198582
135,6591.79688,0.997410953
136,6640.625,0.998320818
137,6689.45312,0.997912169
138,6738.28125,0.997995377
139,6787.10938,0.997908533
140,6835.9375,0.998281121
141,6884.76562,0.998707473
142,6933.59375,0.998391867
143,6982.42188,0.997665405
144,7031.25,0.997270703
145,7080.07812,0.997238517
146,7128.90625,0.998003185
147,7177.73438,0.997943461
148,7226.5625,0.997601569
149,7275.39062,0.996822774
150,7324.21875,0.997206509
151,7373.04688,0.997728169
152,7421.875,0.998157203
153,7470.70312,0.997299671
154,7519.53125,0.996669173
155,7568.35938,0.997818112
156,7617.1875,0.997630119
157,7666.01562,0.996610761
158,7714.84375,0.998211622
159,7763.67188,0.997879624
160,7812.5,0.996875882
161,7861.32812,0.996297598
162,7910.15625,0.996826291
163,7958.98438,0.997926176
164,8007.8125,0.996825159
165,8056.64062,0.997670472
166,8105.46875,0.998216927
167,8154.29688,0.996935427
168,8203.125,0.997731924
169,8251.95312,0.997110128
170,8300.78125,0.997820854
171,8349.60938,0.997278988
172,8398.4375,0.996699333
173,8447.26562,0.997857273
174,8496.09375,0.997875214
175,8544.92188,0.996344745
176,8593.75,0.996658206
177,8642.57812,0.997157276
178,8691.40625,0.995858133
179,8740.23438,0.998333514
180,8789.0625,0.997512102
181,8837.89062,0.997561812
182,8886.71875,0.997722387
183,8935.54688,0.995883286
184,8984.375,0.997498631
185,9033.20312,0.99604696
186,9082.03125,0.996242404
187,9130.85938,0.996798754
188,9179.6875,0.998043716
189,9228.51562,0.997482598
190,9277.34375,0.996301055
191,9326.17188,0.995370507
192,9375,0.996508956
193,9423.82812,0.997451723
194,9472.65625,0.996053994
195,9521.48438,0.995724678
196,9570.3125,0.997172534
197,9619.14062,0.996184468
198,9667.96875,0.996387482
199,9716.79688,0.99672389
200,9765.625,0.996658444
201,9814.45312,0.996811032
202,9863.28125,0.996901393
203,9912.10938,0.996322632
204,9960.9375,0.995183289
205,10009.7656,0.995645225
206,10058.5938,0.995913565
207,10107.4219,0.997329175
208,10156.25,0.996210456
209,10205.0781,0.994185507
210,10253.9062,0.995766997
211,10302.7344,0.997724533
212,10351.5625,0.996430576
213,10400.3906,0.993382871
214,10449.2188,0.996007919
215,10498.0469,0.994866312
216,10546.875,0.996157765
217,10595.7031,0.996917069
218,10644.5312,0.997665584
219,10693.3594,0.996753812
220,10742.1875,0.995392442
221,10791.0156,0.996610582
222,10839.8438,0.996153235
223,10888.6719,0.996153831
224,10937.5,0.996844113
225,10986.3281,0.99603945
226,11035.1562,0.995569527
227,11083.9844,0.996482253
228,11132.8125,0.996663749
229,11181.6406,0.996666551
230,11230.4688,0.996465504
231,11279.2969,0.99521488
232,11328.125,0.995031357
233,11376.9531,0.993800402
234,11425.7812,0.996721268
235,11474.6094,0.996176481
236,11523.4375,0.996863246
237,11572.2656,0.996298552
238,11621.0938,0.995008707
239,11669.9219,0.996628582
240,11718.75,0.997959495
241,11767.5781,0.995601356
242,11816.4062,0.994754851
243,11865.2344,0.996403694
244,11914.0625,0.994715154
245,11962.8906,0.995346963
246,12011.7188,0.99427861
247,12060.5469,0.994816422
248,12109.375,0.995922148
249,12158.2031,0.994626284
250,12207.0312,0.995872319
251,12255.8594,0.994453311
252,12304.6875,0.993412197
253,12353.5156,0.995814264
254,12402.3438,0.995090544
255,12451.1719,0.996245265
256,12500,0.995641649
257,12548.8281,0.995196998
258,12597.6562,0.994792223
259,12646.4844,0.994932353
260,12695.3125,0.994271815
261,12744.1406,0.994763851
262,12792.9688,0.994439662
263,12841.7969,0.994651318
264,12890.625,0.994935453
265,12939.4531,0.993742049
266,12988.2812,0.995166004
267,13037.1094,0.992389917
268,13085.9375,0.996667385
269,13134.7656,0.993418932
270,13183.5938,0.994502723
271,13232.4219,0.99375242
272,13281.25,0.99468118
273,13330.0781,0.993996322
274,13378.9062,0.995325446
275,13427.7344,0.995022476
276,13476.5625,0.994981349
277,13525.3906,0.992419064
278,13574.2188,0.99750036
279,13623.0469,0.996686757
280,13671.875,0.995139956
281,13720.7031,0.994322121
282,13769.5312,0.996141672
283,13818.3594,0.997392952
284,13867.1875,0.993499875
285,13916.0156,0.994793952
286,13964.8438,0.993898094
287,14013.6719,0.995584488
288,14062.5,0.994206905
289,14111.3281,0.996322334
290,14160.1562,0.994280994
291,14208.9844,0.99557364
292,14257.8125,0.996536076
293,14306.6406,0.996201694
294,14355.4688,0.99361527
295,14404.2969,0.994342923
296,14453.125,0.99211514
297,14501.9531,0.994016826
