k,freq_hz,mag_db
21,1025.39062,-0.0221263878
22,1074.21875,-0.0977847427
23,1123.04688,0.0310379285
24,1171.875,0.0631788746
25,1220.70312,0.0566086136
26,1269.53125,-0.0635822192
27,1318.35938,-0.0158025902
28,1367.1875,0.0252002515
29,1416.01562,-0.118760176
30,1464.84375,-0.0505449064
31,1513.67188,-0.0186299086
32,1562.5,-0.141486064
33,1611.32812,-0.106259853
34,1660.15625,-0.0253564455
35,1708.98438,-0.246816158
36,1757.8125,-0.127977997
37,1806.64062,-0.166537389
38,1855.46875,-0.265919
39,1904.29688,-0.22511673
40,1953.125,-0.219533563
41,2001.95312,-0.317526758
42,2050.78125,-0.289292753
43,2099.60938,-0.31765151
44,2148.4375,-0.334826171
45,2197.26562,-0.337376058
46,2246.09375,-0.43143028
47,2294.92188,-0.48099038
48,2343.75,-0.429647803
49,2392.57812,-0.497112602
50,2441.40625,-0.533810019
51,2490.23438,-0.496732444
52,2539.0625,-0.589771509
53,2587.89062,-0.598035991
54,2636.71875,-0.672750413
55,2685.54688,-0.693605661
56,2734.375,-0.756897569
57,2783.20312,-0.710467398
58,2832.03125,-0.732945144
59,2880.85938,-0.806954265
60,2929.6875,-0.772446036
61,2978.51562,-0.658119857
62,3027.34375,-0.708466768
63,3076.17188,-0.660413563
64,3125,-0.635232806
65,3173.82812,-0.639521718
66,3222.65625,-0.660418987
67,3271.48438,-0.711922526
68,3320.3125,-0.61271286
69,3369.14062,-0.716792881
70,3417.96875,-0.848254561
71,3466.79688,-0.745168865
72,3515.625,-0.922076762
73,3564.45312,-0.906562567
74,3613.28125,-1.1561482
75,3662.10938,-1.04585087
76,3710.9375,-1.1093719
77,3759.76562,-1.09756315
78,3808.59375,-1.18444633
79,3857.42188,-1.19190538
80,3906.25,-1.16708338
81,3955.07812,-1.07889259
82,4003.90625,-1.09903622
83,4052.73438,-1.01722729
84,4101.5625,-1.04752171
85,4150.39062,-1.09629619
86,4199.21875,-1.09386849
87,4248.04688,-1.13678753
88,4296.875,-1.29078627
89,4345.70312,-1.28705382
90,4394.53125,-1.39511514
91,4443.35938,-1.44726205
