freq_hz,freq_word,xr,xi,yr,yi,x_mag_db,y_mag_db
1.000000000000000000e+04,2.386090000000000000e+05,2.779472060501575470e-02,-1.448629498481750488e-01,-5.808434262871742249e-02,-7.429402321577072144e-02,-1.662384605407714844e+01,-2.050932693481445312e+01
1.000786523437500000e+04,2.388000000000000000e+05,3.953537344932556152e-02,1.423452347517013550e-01,8.520358055830001831e-02,4.074822738766670227e-02,-1.661041450500488281e+01,-2.049631881713867188e+01
1.001573730468750000e+04,2.389910000000000000e+05,1.392664611339569092e-01,5.075623095035552979e-02,8.286936581134796143e-02,-4.561954364180564880e-02,-1.658143424987792969e+01,-2.048250961303710938e+01
1.002361523437500000e+04,2.391810000000000000e+05,1.480270475149154663e-01,-1.670721831033006310e-04,6.200826540589332581e-02,-7.138261198997497559e-02,-1.659317398071289062e+01,-2.048638153076171875e+01
1.003149902343750000e+04,2.393480000000000000e+05,-1.455126255750656128e-01,2.293339557945728302e-02,-5.062130466103553772e-02,7.999551296234130859e-02,-1.663542938232421875e+01,-2.047604751586914062e+01
1.003938964843750000e+04,2.395390000000000000e+05,1.472101807594299316e-01,-1.106802187860012054e-02,5.657185614109039307e-02,-7.565113157033920288e-02,-1.661676216125488281e+01,-2.049466323852539062e+01
1.004728613281250000e+04,2.397300000000000000e+05,1.474084109067916870e-01,-1.226236578077077866e-02,5.590937286615371704e-02,-7.591776549816131592e-02,-1.659960556030273438e+01,-2.051129341125488281e+01
1.005518847656250000e+04,2.399210000000000000e+05,-1.090017855167388916e-01,9.598159044981002808e-02,5.900050018681213260e-05,9.323305636644363403e-02,-1.675844001770019531e+01,-2.060860061645507812e+01
1.006309765625000000e+04,2.401120000000000000e+05,8.761686086654663086e-02,-1.165079399943351746e-01,-1.919189654290676117e-02,-9.134876728057861328e-02,-1.672624397277832031e+01,-2.059835815429687500e+01
1.007101269531250000e+04,2.403030000000000000e+05,5.124824121594429016e-02,-1.342236995697021484e-01,-4.287179559469223022e-02,-8.154241740703582764e-02,-1.685240173339843750e+01,-2.071237754821777344e+01
1.007893457031250000e+04,2.404940000000000000e+05,3.572249412536621094e-02,-1.428445428609848022e-01,-5.377706512808799744e-02,-7.713342458009719849e-02,-1.663927459716796875e+01,-2.053472328186035156e+01
1.008686132812500000e+04,2.406850000000000000e+05,4.841537028551101685e-02,1.394806653261184692e-01,8.729165792465209961e-02,3.504198417067527771e-02,-1.661565399169921875e+01,-2.053165817260742188e+01
1.009479589843750000e+04,2.408760000000000000e+05,-3.607758507132530212e-02,1.363156735897064209e-01,5.025927349925041199e-02,7.550054788589477539e-02,-1.701505851745605469e+01,-2.084794044494628906e+01
1.010273535156250000e+04,2.410660000000000000e+05,-6.705944240093231201e-02,-1.300454884767532349e-01,-9.072932600975036621e-02,-2.222379855811595917e-02,-1.669407653808593750e+01,-2.059199333190917969e+01
1.011068164062500000e+04,2.412570000000000000e+05,7.281623035669326782e-02,-1.241061240434646606e-01,-2.897024154663085938e-02,-8.774691075086593628e-02,-1.683934593200683594e+01,-2.068603324890136719e+01
1.011863476562500000e+04,2.414480000000000000e+05,-1.152184531092643738e-01,-8.043879270553588867e-02,-8.792238682508468628e-02,2.108578197658061981e-02,-1.704527664184570312e+01,-2.087514495849609375e+01
1.012659375000000000e+04,2.416390000000000000e+05,-3.050912544131278992e-02,1.421682387590408325e-01,5.581415817141532898e-02,7.436776161193847656e-02,-1.674841308593750000e+01,-2.063195800781250000e+01
1.013455859375000000e+04,2.418300000000000000e+05,-1.020027846097946167e-01,1.057127863168716431e-01,8.299302309751510620e-03,9.326966851949691772e-02,-1.665953254699707031e+01,-2.057094192504882812e+01
1.014253027343750000e+04,2.420210000000000000e+05,5.415413901209831238e-02,-1.381688117980957031e-01,-4.416589066386222839e-02,-8.290445059537887573e-02,-1.657117652893066406e+01,-2.054345703125000000e+01
1.015050781250000000e+04,2.422120000000000000e+05,-9.859922528266906738e-02,1.086092293262481689e-01,1.113331224769353867e-02,9.257878363132476807e-02,-1.667202758789062500e+01,-2.060741424560546875e+01
1.015849121093750000e+04,2.423790000000000000e+05,1.983369234949350357e-03,-1.438626945018768311e-01,-6.856368482112884521e-02,-6.155993044376373291e-02,-1.684021186828613281e+01,-2.071061325073242188e+01
1.016648144531250000e+04,2.425700000000000000e+05,-1.363692581653594971e-01,3.391738235950469971e-02,-4.136234149336814880e-02,8.035878092050552368e-02,-1.704499816894531250e+01,-2.087864112854003906e+01
